,FTIR_Results_,count
377,"['Cocaine'] ['Cocaine', 'Unknown'] ['MDA']",1
378,"['Cocaine'] ['Cocaine', 'Unknown'] ['Cocaine']",1
379,"['Cocaine'] ['Cocaine', 'Other'] ",1
380,"['Cocaine', 'Unknown'], ['Cocaine'],['Unknown'] ,['MDMA']",1
381,"['Cocaine', 'Unknown'],['MDMA'] ,['MDA'] ,",1
382,"['Cocaine', 'Unknown'],['MDMA', 'Unknown'] ['Cocaine'],['MDMA', 'Unknown'] ,['Ketamine']",1
383,"['Cocaine', 'Unknown'],['Cocaine', 'Cocaine'] ['MDMA', 'Cocaine'], ['MDMA'],",1
384,"['Cocaine', 'Unknown']  ['Unknown']",1
385,"['Cocaine', 'Unknown'] ['Unknown', 'Unknown'] ['Unknown', 'Unknown', 'Unknown', 'Other']",1
386,"['Cocaine', 'Unknown'] ['Unknown', 'Cocaine'] ['MDMA', 'Unknown']",1
387,"['Cocaine', 'Unknown'] ['MDMA'] ['Cocaine', 'Unknown', 'Unknown']",1
388,"['Cocaine', 'Unknown'] ['MDMA', 'Unknown'] ",1
389,"['Cocaine', 'Unknown'] ['MDA', 'Cocaine'] ['MDA', 'Unknown']",1
390,"['Cocaine', 'Unknown'] ['LSD'] ['Ketamine', 'Methamphetamine']",1
391,"['Cocaine', 'Unknown'] ['Ketamine'] ['MDMA']",1
392,"['Cocaine', 'Unknown', 'Unknown', 'Unknown'] ['Unknown'] ",1
393,"['Cocaine', 'Unknown', 'Other'],['MDMA', 'Other'] ['Ketamine', 'Other'],['Cocaine', 'Other'] ['Other'],",1
394,"['Cocaine', 'Unknown', 'Other'] ['MDMA', 'Other'] ['MDMA', 'Other']",1
395,"['Cocaine', 'Unknown', 'Other'] ['Cocaine', 'Other'] ['Cocaine', 'Other']",1
396,"['Cocaine', 'Other'],['Ketamine', 'Other'] ['MDMA', 'Other'], ,",1
397,"['Cocaine', 'Other']  ['MDMA', 'Other']",1
398,"['Cocaine', 'Other'] ['MDMA', 'Other'] ['Ketamine', 'Other']",1
399,"['Cocaine', 'Other'] ['MDA', 'Other'] ",1
400,"['Cocaine', 'MDMA'] ['Ketamine'] ['MDMA', 'Unknown']",1
