Sample,count
['MDMA'] ['Cocaine'] ['Ketamine'] ,1
"['MDMA'],['Cocaine'] ['MDA'], ['Ketamine'],",1
"['MDMA'],['Cocaine'] ['Ketamine'],['Other'] ['Ketamine'],",1
"['MDMA'],['Cocaine'] ['Ketamine'],['Cocaine'] ['Ketamine'],['Unknown']",1
"['MDMA'],['Cocaine'] ['Cocaine'], ['MDMA'],",1
['MDMA'] ['Unknown'] ['Other'],1
['MDMA'] ['Other'] ['Other'],1
['MDMA'] ['Methamphetamine'] ,1
['MDMA'] ['Methamphetamine'] ['Other'],1
['MDMA'] ['Other'],1
"['MDMA'] ['MDMA', 'MDA']",1
"['MDMA'] ['MDMA', 'Other'] ['MDA']",1
['MDMA'] ['MDA'] ['Unknown'],1
['MDMA'] ['MDA'] ['LSD'],1
['MDMA'] ['LSD'] ['Ketamine'],1
['MDMA'] ['Cocaine'] ['Unknown'],1
"['MDMA', 'MDA'] ['Cocaine']",1
['MDA'] ['MDMA'] ['Other'] ['Ketamine'] ['Cocaine'],1
"['MDA'],['MDMA'] ['Cocaine'], ['Ketamine'],",1
['MDA'] ['Ketamine'] ['LSD'],1
"['MDA'],['LSD'] ['Other'], ['MDMA'],",1
"['MDA'],['LSD'] ['MDA'], ['Other'],",1
['MDA'] ['Other'] ['LSD'],1
['MDA'] ['MDMA'] ['MDA'],1
['MDA'] ['MDMA'] ['LSD'],1
['MDA'] ['LSD'] ,1
['MDA'] ['LSD'] ['Unknown'],1
['MDA'] ['Ketamine'] ['MDA'],1
['MDA'] ['Cocaine'] ['MDA'],1
['MDA'] ['Cocaine'] ['Ketamine'],1
['LSD'] ['MDMA'] ['Unknown'],1
['LSD'] ['MDMA'] ['Other'],1
"['LSD'],['MDMA'] ['LSD'],['Unknown'] ['Other'],['LSD']",1
"['LSD'],['MDA']",1
"['LSD'],['MDA'] ['Other'], ['MDMA'],",1
"['LSD'],['LSD'] ['Ketamine'], ['Cocaine'],",1
['LSD'] ['Unknown'] ,1
['LSD'] ['MDMA'] ['LSD'],1
['LSD'] ['MDA'] ['Ketamine'],1
['LSD'] ['Other'],1
['LSD'] ['Ketamine'] ['MDMA'],1
['LSD'] ['Cocaine'] ,1
['LSD'] ['Cocaine'] ['Ketamine'],1
['Ketamine'] ['Unknown'] ['MDMA'],1
"['Ketamine'] ['MDMA'] ['Unknown'] ['MDMA', 'MDA']",1
['Ketamine'] ['MDMA'] ['Other'],1
"['Ketamine'],['MDMA'] ['Cocaine'], ['MDMA'],",1
"['Ketamine'] ['MDMA', 'MDA'] ['Unknown']",1
"['Ketamine'],['MDA'] ['Ketamine'], ['Ketamine'],",1
['Ketamine'] ['MDA'] ['MDMA'] ['Cocaine'],1
['Ketamine'] ['LSD'] ['MDA'],1
['Ketamine'] ['Other'] ['MDMA'] ['Cocaine'] ['LSD'],1
['Ketamine'] ['Cocaine'] ['Unknown'] ['MDMA'],1
['Ketamine'] ['Other'] ['MDMA'],1
['Ketamine'] ['Other'] ['MDA'],1
['Ketamine'] ['Other'] ['LSD'],1
['Ketamine'] ['Methamphetamine'] ,1
['Ketamine'] ['LSD'] ['Other'],1
['Ketamine'] ['Cocaine'] ['MDA'],1
"['Cocaine'],['MDMA'] ,['MDA'] ,['LSD']",1
"['Cocaine'],['MDMA'] ['LSD'],['MDMA'] ['Ketamine'],",1
"['Cocaine'],['MDMA'] ['Ketamine'], ['MDMA'],",1
"['Cocaine'],['MDMA'] ['Cocaine'],['Ketamine'] ['Unknown'],['MDMA']",1
"['Cocaine'],['MDA'] ['Other'],['MDMA'] ['Ketamine'],['LSD']",1
['Cocaine'] ['MDA'] ['MDMA'] ,1
['Cocaine'] ['LSD'] ['MDMA'],1
"['Cocaine'],['LSD'] ['Ketamine'], ['MDMA'],",1
['Cocaine'] ['LSD'] ['Other'] ['Unknown'],1
['Cocaine'] ['LSD'] ['MDA'],1
['Cocaine'] ['Ketamine'] ['MDMA'] ['LSD'],1
['Cocaine'] ['Unknown'],1
['Cocaine'] ['Other'] ,1
['Cocaine'] ['MDA'] ['Other'],1
['Cocaine'] ['MDA'] ['MDMA'],1
['Cocaine'] ['MDA'] ['MDA'],1
['Cocaine'] ['LSD'] ['Unknown'],1
['Cocaine'] ['LSD'] ['Ketamine'],1
['Cocaine'] ['LSD'] ['Cocaine'],1
