,PreviousDC,Gender,belief,testing_for,obtained,All_FTIR_Results,FTIR_Other_detail,Primary_FTIR_Results,surprised_19,Intentions,Discard,Match_Primary,BehChange_NoChange,HarmRed_NoHarmRed,FTIR_prim,FTIR_secon,FTIR_teri,FTIR_quar,Target
1,yes,Male,['MDMA'],Other,Onsite,"['MDMA', 'Other']",,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Unknown,none,none,
2,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
3,no,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
4,no,Male,['MDA'],Both,Offsite,['MDA'],,['MDA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDA,none,none,none,
5,no,Male,['Unknown'],Self,Ground,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Ketamine,none,none,none,
6,yes,Female,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
7,no,Female,['Cocaine'],Self,Offsite,['Other'],,['Other'],Not Surprised,Other,no,Not Match,Behaviour Change,No Change,Unknown,none,none,none,
8,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,MDMA,none,none,none,
9,no,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
10,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
11,yes,Male,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,Ketamine,none,none,none,
12,yes,Male,['Unknown'],Both,Ground,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Cocaine,none,none,none,
13,yes,Male,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
14,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
15,no,Male,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,MDMA,none,none,none,
16,no,Male,['Cocaine'],Self,Offsite,"['Cocaine', 'Unknown']",citric acid- 3-5%,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,Other,none,none,citric acid- 3-5%
17,yes,Male,['MDA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,MDMA,none,none,none,
18,yes,Male,['Cocaine'],Self,Onsite,"['Cocaine', 'Unknown']",inositol,['Cocaine'],Surprised,Less,no,Match,Behaviour Change,Harm Reduction,Cocaine,Other,none,none,inositol
19,no,Male,['MDMA'],Self,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
20,no,Male,['MDMA'],Self,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
21,yes,Male,['MDMA'],Self,Offsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,mannitol
22,yes,Male,['LSD'],Self,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
23,no,Female,['MDMA'],Self,Offsite,['MDMA'],,['MDMA'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,MDMA,none,none,none,
24,yes,Male,['MDMA'],Self,Offsite,"['MDMA', 'Unknown']",corn flour,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,corn flour
25,yes,Male,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,Ketamine,none,none,none,
26,yes,Male,['Cocaine'],Both,Offsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
27,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,none,none,none,
28,no,Female,['Ketamine'],Both,Offsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
29,no,Male,['MDMA'],Self,Onsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,mannitol
30,no,Female,['LSD'],Self,Onsite,[],,[],Not Surprised,Other,no,Not Match,Behaviour Change,No Change,none,none,none,none,
31,no,Male,['MDMA'],Both,Offsite,"['MDMA', 'Other']",,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Unknown,none,none,
32,no,Male,['LSD'],Both,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
33,no,Female,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
34,yes,Female,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
35,no,Male,['Cocaine'],Both,Onsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
36,yes,Male,['MDA'],Both,Ground,['MDA'],,['MDA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDA,none,none,none,
37,no,Male,['Cocaine'],Both,Onsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
38,yes,Male,['MDMA'],Self,Onsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,mannitol
39,no,Male,['Unknown'],Self,Ground,['Ketamine'],,['Ketamine'],Surprised,Friend,no,Not Match,Behaviour Change,Harm Reduction,Ketamine,none,none,none,
40,no,Female,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
41,no,Male,['Cocaine'],Both,Onsite,"['Unknown', 'Cocaine']",Leucine,['Unknown'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Other,Cocaine,none,none,Leucine
42,no,Male,['MDMA'],Both,Offsite,['MDA'],,['MDA'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,MDA,none,none,none,
43,no,Female,['Cocaine'],Self,Onsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,Cocaine,none,none,none,
44,no,Male,['Cocaine'],Self,Offsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
45,no,Male,['MDMA'],Self,Offsite,"['MDMA', 'Unknown']",GHB,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,Other,none,none,GHB
46,no,GenderUnknown,['LSD'],Self,Offsite,['LSD'],,['LSD'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,LSD,none,none,none,
47,no,Male,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,Ketamine,none,none,none,
48,yes,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,none,none,none,
49,yes,Male,['Ketamine'],Both,Onsite,['Cocaine'],,['Cocaine'],Surprised,TakeAsIntended,no,Not Match,No Change,Harm Reduction,Cocaine,none,none,none,
50,yes,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,Friend,no,Match,Behaviour Change,Harm Reduction,MDMA,none,none,none,
51,no,Male,['MDMA'],Self,Onsite,"['MDMA', 'Unknown']",caffeine,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,Other,none,none,caffeine
52,no,Female,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
53,yes,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,none,none,none,
54,yes,Male,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
56,no,Male,['Cocaine'],Both,Offsite,['Cocaine'],,['Cocaine'],Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
57,yes,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
58,no,Female,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,none,none,none,
59,yes,Male,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,Friend,no,Match,Behaviour Change,Harm Reduction,MDMA,none,none,none,
60,yes,Male,['MDA'],Self,Onsite,['MDA'],,['MDA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDA,none,none,none,
61,no,Male,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
62,yes,Female,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,Ketamine,none,none,none,
63,no,Female,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
64,yes,Male,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
65,no,Male,['MDMA'],Both,Onsite,"['Unknown', 'MDA', 'Unknown']",1st-phenacetin. 3rd-safrole,['Unknown'],Surprised,TakeAsIntended,no,Not Match,No Change,Harm Reduction,Other,MDA,Other,none,1st-phenacetin. 3rd-safrole
66,no,Male,['Cocaine'],Self,Offsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,Cocaine,none,none,none,
67,no,Male,['LSD'],Self,Offsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
68,no,Female,['Cocaine'],Both,Onsite,"['Cocaine', 'Unknown', 'Unknown']",2nd- caffine 3rd-minnotol,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,Other,Other,none,2nd- caffine 3rd-minnotol
69,no,Female,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
70,no,Female,['Unknown'],Self,Ground,"['Cocaine', 'Unknown']",levamisole,['Cocaine'],Not Surprised,Other,no,Not Match,Behaviour Change,No Change,Cocaine,Other,none,none,levamisole
71,no,Female,['Ketamine'],Self,Offsite,"['Ketamine', 'Methamphetamine']",,['Ketamine'],Surprised,Other,no,Match,Behaviour Change,No Change,Ketamine,Meth,none,none,
72,no,Female,['MDA'],Both,Onsite,['Ketamine'],,['Ketamine'],Surprised,Other,no,Not Match,Behaviour Change,No Change,Ketamine,none,none,none,
75,yes,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
76,no,Male,['Ketamine'],Both,Ground,['Ketamine'],,['Ketamine'],Not Surprised,Friend,no,Match,Behaviour Change,Harm Reduction,Ketamine,none,none,none,
77,no,Male,"['MDMA', 'MDA']",Both,Ground,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,MDMA,none,none,none,
78,yes,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
79,no,Female,['Cocaine'],Both,Offsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
80,no,Female,['Ketamine'],Both,Ground,['Ketamine'],,['Ketamine'],Surprised,Friend,no,Match,Behaviour Change,Harm Reduction,Ketamine,none,none,none,
81,no,Female,['MDMA'],Self,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
82,no,Male,['MDA'],Both,Onsite,['MDA'],,['MDA'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,MDA,none,none,none,
83,yes,Male,['MDMA'],Both,Offsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,mannitol
84,yes,Male,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
85,yes,Male,['MDMA'],Both,Onsite,"['MDMA', 'Unknown']",creatine,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,creatine
86,no,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,MDMA,none,none,none,
87,no,Male,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
88,no,Male,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,MDMA,none,none,none,
89,no,Male,['Unknown'],Self,Ground,['Ketamine'],,['Ketamine'],Surprised,More,no,Not Match,Behaviour Change,No Change,Ketamine,none,none,none,
90,no,Male,['Ketamine'],Both,Offsite,"['Ketamine', 'Unknown']",inositol,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,Other,none,none,inositol
91,yes,Male,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
92,no,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
93,yes,Male,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
95,yes,Female,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,Friend,no,Match,Behaviour Change,Harm Reduction,Ketamine,none,none,none,
96,no,Female,['MDMA'],Self,Onsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,MDMA,Other,none,none,mannitol
97,no,Female,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
98,no,Female,"['MDMA', 'Methamphetamine']",Both,Onsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Surprised,TakeAsIntended,no,Not Match,No Change,No Change,MDMA,Other,none,none,mannitol
100,yes,Female,['LSD'],Both,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,Harm Reduction,none,none,none,none,
101,no,Female,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
102,no,Female,['MDMA'],Both,Onsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,mannitol
103,no,Female,['MDA'],Self,Onsite,['MDA'],,['MDA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDA,none,none,none,
104,no,Female,['MDMA'],Both,Offsite,['MDA'],,['MDA'],Surprised,Change,no,Not Match,Behaviour Change,Harm Reduction,MDA,none,none,none,
105,yes,Male,['MDMA'],Self,Offsite,"['MDMA', 'MDA']",,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,MDA,none,none,
106,yes,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,none,none,none,
107,no,Female,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
108,no,Female,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
109,no,Female,['Ketamine'],Both,Onsite,"['Ketamine', 'Unknown']",water,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,Other,none,none,water
110,yes,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
111,yes,Male,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
112,no,Male,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,More,no,Match,Behaviour Change,No Change,Ketamine,none,none,none,
113,no,Male,['Cocaine'],Self,Onsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
114,yes,Male,['Cocaine'],Self,Ground,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
115,yes,Male,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Surprised,Less,no,Match,Behaviour Change,Harm Reduction,Ketamine,none,none,none,
116,no,Female,['Cocaine'],Both,Offsite,['Cocaine'],,['Cocaine'],Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
117,yes,Male,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
118,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
119,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,none,none,none,
120,no,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,More,no,Match,Behaviour Change,No Change,Ketamine,none,none,none,
121,yes,Male,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
122,no,Male,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
123,no,Male,['MDMA'],Other,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
124,no,Male,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,MDMA,none,none,none,
125,yes,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
126,no,Female,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
127,no,Male,['Ketamine'],Both,Offsite,['Ketamine'],,['Ketamine'],Not Surprised,Friend,no,Match,Behaviour Change,Harm Reduction,Ketamine,none,none,none,
128,no,Female,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,Ketamine,none,none,none,
129,yes,Female,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
130,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,none,none,none,
131,yes,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,none,none,none,
132,no,Male,['Cocaine'],Both,Onsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,Cocaine,none,none,none,
133,no,Male,['MDMA'],Both,Onsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Not Surprised,Friend,no,Match,Behaviour Change,Harm Reduction,MDMA,Other,none,none,mannitol
134,yes,Female,['Cocaine'],Self,Onsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,Cocaine,none,none,none,
135,no,Male,['MDMA'],Both,Onsite,"['MDMA', 'Unknown']",dimethyl sulfone,['MDMA'],Surprised,Friend,no,Match,Behaviour Change,Harm Reduction,MDMA,Other,none,none,dimethyl sulfone
136,no,Female,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
137,yes,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
138,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
140,no,Male,['MDMA'],Both,Offsite,"['Ketamine', 'Unknown']",mannitol,['Ketamine'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Ketamine,Other,none,none,mannitol
141,no,Female,['Cocaine'],Both,Onsite,"['Cocaine', 'Unknown']",phenacetin,['Cocaine'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,Cocaine,Other,none,none,phenacetin
142,yes,Male,"['MDMA', 'MDA']",Both,Offsite,['MDA'],,['MDA'],Surprised,Less,no,Not Match,Behaviour Change,Harm Reduction,MDA,none,none,none,
143,no,Male,['Cocaine'],Both,Onsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,Cocaine,none,none,none,
144,no,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,none,none,none,
145,no,Male,['Unknown'],Self,Ground,"['Ketamine', 'Unknown']",sugar,['Ketamine'],Not Surprised,Other,no,Not Match,Behaviour Change,No Change,Ketamine,Other,none,none,sugar
146,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
148,yes,Female,['MDMA'],Self,Onsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,mannitol
149,yes,Female,['Unknown'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,Less,no,Not Match,Behaviour Change,Harm Reduction,MDMA,none,none,none,
150,no,Male,['Ketamine'],Self,Onsite,"['Ketamine', 'Unknown']",water,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,Other,none,none,water
151,no,Female,['MDMA'],Self,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
152,no,Male,['Cocaine'],Both,Onsite,"['Cocaine', 'MDMA']",,['Cocaine'],Surprised,Less,no,Match,Behaviour Change,Harm Reduction,Cocaine,MDMA,none,none,
153,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
154,no,Male,['MDA'],Self,Offsite,['MDA'],,['MDA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDA,none,none,none,
155,no,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
156,no,Female,['MDMA'],Both,Onsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,mannitol
157,no,Male,['MDMA'],Both,Offsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Ketamine,none,none,none,
158,no,Male,['Other'],Both,Onsite,['Unknown'],GHB,['Unknown'],Not Surprised,Less,no,Not Match,Behaviour Change,Harm Reduction,Other,none,none,none,GHB
159,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,MDMA,none,none,none,
160,no,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,none,none,none,
161,yes,Female,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
164,no,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Surprised,Other,no,Match,Behaviour Change,No Change,Ketamine,none,none,none,
165,no,Male,['MDMA'],Both,Offsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Ketamine,none,none,none,
166,no,Female,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
167,yes,Male,['LSD'],Both,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
168,no,Male,['MDMA'],Both,Online,"['MDMA', 'Unknown']",mannitol,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,Other,none,none,mannitol
169,no,Male,['MDMA'],Self,Onsite,['MDA'],,['MDA'],Surprised,Less,no,Not Match,Behaviour Change,Harm Reduction,MDA,none,none,none,
170,yes,Male,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,Friend,no,Match,Behaviour Change,Harm Reduction,Ketamine,none,none,none,
171,no,Male,['MDA'],Self,Onsite,['MDA'],,['MDA'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,MDA,none,none,none,
172,no,Female,['MDMA'],Both,Onsite,"['Unknown', 'MDA']",phenacetin,['Unknown'],Surprised,Friend,no,Not Match,Behaviour Change,Harm Reduction,Other,MDA,none,none,phenacetin
173,no,Female,['MDMA'],Self,Onsite,"['MDMA', 'Unknown']",dimethyl sulfone,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,Other,none,none,dimethyl sulfone
