,PreviousDC,Gender,belief,testing_for,obtained,All_FTIR_Results,FTIR_Other_detail,Primary_FTIR_Results,surprised_19,Intentions,Discard,Match_Primary,BehChange_NoChange,HarmRed_NoHarmRed,FTIR_prim,FTIR_secon,FTIR_teri,FTIR_quar,Target
1942,no,Male,['Ketamine'],Self,Offsite,"['Ketamine', 'Unknown']",lactose,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,Other,none,none,lactose
1943,no,Male,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
1944,no,Male,['Cocaine'],Self,Offsite,"['Cocaine', 'Unknown']",Phenacetin,['Cocaine'],Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,Other,none,none,Phenacetin
1945,yes,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,Ketamine,none,none,none,
1946,no,Female,"['MDMA', 'Other']",Both,Onsite,['Other'],,['Other'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Unknown,none,none,none,
1947,no,Female,['Cocaine'],Self,Offsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
1949,no,Male,['Cocaine'],Both,Onsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
1951,yes,Female,['Other'],Both,Offsite,['Unknown'],pill binding agents,['Unknown'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Other,none,none,none,pill binding agents
1952,no,Female,['Ketamine'],Self,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
1953,no,Male,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
1955,no,Male,['Other'],Self,Offsite,['Unknown'],DMT,['Unknown'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Other,none,none,none,DMT
1961,no,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
1962,no,Male,['Cocaine'],Other,Offsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
1963,no,Female,['Unknown'],Self,Offsite,['Other'],,['Other'],Surprised,Other,Unknown,Not Match,Behaviour Change,No Change,Unknown,none,none,none,
1964,yes,Female,['MDMA'],Self,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,yes,Match,No Change,No Change,MDMA,none,none,none,
1968,yes,Female,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
1969,yes,Male,['Cocaine'],Both,Onsite,"['Unknown', 'Cocaine']",phenacetin,['Unknown'],Surprised,Less,no,Not Match,Behaviour Change,Harm Reduction,Other,Cocaine,none,none,phenacetin
1971,yes,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
1973,yes,Trans,['MDA'],Both,Onsite,['MDA'],,['MDA'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,MDA,none,none,none,
1976,yes,Male,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
1978,no,Male,['LSD'],Both,Offsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,Harm Reduction,none,none,none,none,
1979,yes,Male,['LSD'],Self,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,Harm Reduction,none,none,none,none,
1980,no,Male,['LSD'],Self,Offsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
1982,no,Female,['LSD'],Both,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,Harm Reduction,none,none,none,none,
1984,yes,Male,['LSD'],Self,Offsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,Harm Reduction,none,none,none,none,
1985,no,Male,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,none,none,none,
1986,yes,Male,['LSD'],Self,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,Harm Reduction,none,none,none,none,
1987,no,Male,"['Ketamine', 'Other']",Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Ketamine,none,none,none,
1988,yes,Male,['LSD'],Both,Offsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,Harm Reduction,none,none,none,none,
1989,yes,Female,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,yes,Match,No Change,No Change,MDMA,none,none,none,
1991,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
1992,yes,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
1993,yes,Male,['Cocaine'],Both,Onsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
1995,yes,Male,['Ketamine'],Both,Online,"['Ketamine', 'Unknown']",methylparaben,['Ketamine'],Surprised,Other,no,Match,Behaviour Change,No Change,Ketamine,Other,none,none,methylparaben
2002,no,Male,['LSD'],Self,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
2003,yes,Female,['Cocaine'],Both,Onsite,['Cocaine'],,['Cocaine'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,Cocaine,none,none,none,
2004,no,Female,['MDA'],Both,Offsite,"['MDA', 'Unknown', 'Unknown']","cellulose, caffeine",['MDA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDA,Other,Other,none,"cellulose, caffeine"
2005,no,Male,['Ketamine'],Both,Offsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
2007,no,Female,['Cocaine'],Both,Offsite,"['Unknown', 'Cocaine']",Phenacetin,['Unknown'],Surprised,Dispose,no,Not Match,Behaviour Change,Harm Reduction,Other,Cocaine,none,none,Phenacetin
2009,no,Male,['Ketamine'],Both,Offsite,"['Ketamine', 'Unknown']",sugar alcohol of some type,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,Other,none,none,sugar alcohol of some type
2010,no,Male,['LSD'],Self,Offsite,[],,[],Not Surprised,Other,no,Not Match,Behaviour Change,No Change,none,none,none,none,
2014,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
2015,no,Female,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
2016,yes,Male,['MDA'],Both,Onsite,['MDA'],,['MDA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDA,none,none,none,
2018,no,Male,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
2019,yes,Male,['Ketamine'],Self,Offsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
2020,no,Male,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
2022,no,Male,['Cocaine'],Client,Offsite,['Unknown'],,['Unknown'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Other,none,none,none,
2029,no,Male,['MDA'],Self,Onsite,"['MDA', 'Unknown']",,['MDA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDA,Other,none,none,
2030,no,Male,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
2031,no,Male,['MDA'],Both,Onsite,['MDA'],,['MDA'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDA,none,none,none,
2033,yes,Male,['MDMA'],Both,Onsite,"['MDMA', 'Unknown']",paracetamol,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,Other,none,none,paracetamol
2035,no,Male,['LSD'],Both,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
2039,no,Male,['MDA'],Both,Onsite,"['Unknown', 'MDMA', 'MDA']",microcrystaline cellulose,['Unknown'],Surprised,Other,Unknown,Not Match,Behaviour Change,No Change,Other,MDMA,MDA,none,microcrystaline cellulose
2042,no,Female,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
2043,no,Female,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
2044,yes,Male,['MDMA'],Self,Onsite,['MDMA'],,['MDMA'],Not Surprised,Other,no,Match,Behaviour Change,No Change,MDMA,none,none,none,
2045,no,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,MDMA,none,none,none,
2046,yes,Female,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
2047,yes,Male,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
2048,no,Male,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
2049,yes,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
2050,yes,Female,['MDMA'],Both,Onsite,"['MDMA', 'Unknown']",dimenthyl sulfone,['MDMA'],Surprised,TakeAsIntended,,Match,No Change,No Change,MDMA,Other,none,none,dimenthyl sulfone
2051,yes,Female,['MDA'],Both,Onsite,['MDA'],,['MDA'],Not Surprised,TakeAsIntended,,Match,No Change,No Change,MDA,none,none,none,
2052,no,Male,[],Both,Offsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Cocaine,none,none,none,
2059,no,Female,['Cocaine'],Both,Onsite,"['Cocaine', 'Unknown']",,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,Other,none,none,
2060,yes,Male,['MDA'],Both,Onsite,['MDA'],,['MDA'],Not Surprised,TakeAsIntended,,Match,No Change,No Change,MDA,none,none,none,
2063,no,Female,['LSD'],Self,Onsite,[],,[],Not Surprised,Friend,no,Not Match,Behaviour Change,Harm Reduction,none,none,none,none,
2065,no,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
2068,yes,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
2069,yes,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
2074,no,Female,['Cocaine'],Self,Offsite,"['Unknown', 'Cocaine']",phenacetin,['Unknown'],Surprised,Other,no,Not Match,Behaviour Change,No Change,Other,Cocaine,none,none,phenacetin
2076,yes,Female,['Cocaine'],Both,Onsite,"['Cocaine', 'Unknown']",sugar/alchol,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,Other,none,none,sugar/alchol
2086,no,Male,['MDMA'],Both,Onsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Not Surprised,Other,no,Match,Behaviour Change,No Change,MDMA,Other,none,none,mannitol
2089,no,Female,['Ketamine'],Other,Onsite,['Ketamine'],,['Ketamine'],Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
2090,no,Female,['LSD'],Both,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
2091,no,Female,['LSD'],Both,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
2093,no,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
2094,yes,Male,['Cocaine'],Both,Onsite,"['Cocaine', 'Unknown']",caffeine,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,Other,none,none,caffeine
2095,no,Female,['LSD'],Self,Offsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
2096,yes,Male,['Cocaine'],Both,Onsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
2099,no,Male,['Cocaine'],Both,Onsite,"['Cocaine', 'Unknown']",,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,Other,none,none,
2100,yes,Male,['MDA'],Both,Onsite,['MDA'],,['MDA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDA,none,none,none,
2102,no,Female,['MDMA'],Both,Offsite,"['MDMA', 'MDMA']",,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,MDMA,none,none,
2103,yes,Female,['Cocaine'],Both,Offsite,"['Cocaine', 'Unknown']",glutamine,['Cocaine'],Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,Other,none,none,glutamine
2107,yes,Male,['LSD'],Both,Onsite,[],,[],Not Surprised,TakeAsIntended,,Not Match,No Change,No Change,none,none,none,none,
2110,no,Male,['LSD'],Self,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
2112,no,Female,['MDMA'],Both,Ground,['MDMA'],,['MDMA'],Surprised,Other,no,Match,Behaviour Change,No Change,MDMA,none,none,none,
2116,yes,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
2119,no,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
2120,no,Female,['MDA'],Both,Offsite,['MDA'],,['MDA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDA,none,none,none,
2122,no,Male,['Cocaine'],Self,Onsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Cocaine,none,none,none,
2124,no,Male,['LSD'],Self,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
2126,no,Female,['Cocaine'],Both,Offsite,"['Unknown', 'Cocaine']",60% phenucetin,['Unknown'],Surprised,Dispose,yes,Not Match,Behaviour Change,Harm Reduction,Other,Cocaine,none,none,60% phenucetin
2131,yes,Male,['Other'],Both,Onsite,"['Unknown', 'Other']",,['Unknown'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Other,Unknown,none,none,
2133,no,Male,['MDMA'],Self,Onsite,"['MDMA', 'Other']",,['MDMA'],Surprised,Other,no,Match,Behaviour Change,No Change,MDMA,Unknown,none,none,
2135,yes,Male,['LSD'],Both,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
2136,no,Male,['Other'],Both,Offsite,[],,[],Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
2137,no,Male,"['LSD', 'Other']",Both,Onsite,['Unknown'],plant matter,['Unknown'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Other,none,none,none,plant matter
2139,yes,Male,['MDMA'],Both,Onsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Not Surprised,TakeAsIntended,,Match,No Change,No Change,MDMA,Other,none,none,mannitol
2140,no,Female,['Other'],Self,Onsite,['Unknown'],2CT7,['Unknown'],Not Surprised,Less,no,Not Match,Behaviour Change,Harm Reduction,Other,none,none,none,2CT7
2141,yes,Female,['MDA'],Self,Onsite,['MDA'],,['MDA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDA,none,none,none,
2142,no,Female,['MDMA'],Both,Ground,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
2143,no,Male,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
2144,no,Male,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,Friend,no,Match,Behaviour Change,Harm Reduction,Ketamine,none,none,none,
2145,yes,Male,['MDMA'],Self,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
2146,no,Male,['Other'],Self,Offsite,"['Unknown', 'MDMA']",cellulose,['Unknown'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Other,MDMA,none,none,cellulose
2154,no,Male,['Cocaine'],Both,Offsite,['Cocaine'],,['Cocaine'],Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,Cocaine,none,none,none,
2161,yes,Female,['Unknown'],Both,Ground,"['Cocaine', 'Other']",,['Cocaine'],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Cocaine,Unknown,none,none,
2162,yes,Female,['MDA'],Both,Onsite,"['MDA', 'Other']",,['MDA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDA,Unknown,none,none,
2164,yes,Female,['Unknown'],Both,Ground,"['Ketamine', 'Other']",,['Ketamine'],Surprised,TakeAsIntended,no,Not Match,No Change,No Change,Ketamine,Unknown,none,none,
2172,,Male,['LSD'],Self,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
2176,no,Male,['Ketamine'],Self,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
2181,no,Male,['Unknown'],Self,Ground,['Unknown'],moxie 5-meo MPT,['Unknown'],Surprised,TakeAsIntended,no,Match,No Change,No Change,Other,none,none,none,moxie 5-meo MPT
2183,no,Female,['LSD'],Self,Onsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
2184,no,Male,['Ketamine'],Both,Onsite,"['Ketamine', 'Unknown']",sucrose,['Ketamine'],Surprised,Other,no,Match,Behaviour Change,No Change,Ketamine,Other,none,none,sucrose
2191,yes,Male,['Ketamine'],Other,Offsite,"['Ketamine', 'Unknown']",20% MSG,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,Ketamine,Other,none,none,20% MSG
2193,no,Female,['Ketamine'],Both,Onsite,['Ketamine'],,['Ketamine'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,Ketamine,none,none,none,
2194,no,Male,['MDA'],Self,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Not Match,No Change,No Change,MDMA,none,none,none,
2196,no,Female,['MDMA'],Both,Onsite,['MDMA'],,['MDMA'],Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
2198,no,Female,['MDMA'],Both,Offsite,['MDMA'],,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,
2204,no,Female,['MDMA'],Both,Offsite,"['MDMA', 'Unknown']",mannitol,['MDMA'],Not Surprised,Less,no,Match,Behaviour Change,Harm Reduction,MDMA,Other,none,none,mannitol
2207,no,Female,['MDMA'],Both,Onsite,['MDMA'],MSM,['MDMA'],Not Surprised,TakeAsIntended,no,Match,No Change,No Change,MDMA,none,none,none,MSM
2209,yes,Female,['Cocaine'],Both,Offsite,['Cocaine'],,['Cocaine'],Not Surprised,TakeAsIntended,no,Match,No Change,Harm Reduction,Cocaine,none,none,none,
2210,no,Male,['MDMA'],Both,Offsite,"['MDA', 'Cocaine']",,['MDA'],Surprised,TakeAsIntended,no,Not Match,No Change,Harm Reduction,MDA,Cocaine,none,none,
2216,yes,Male,['Cocaine'],Self,Onsite,"['Cocaine', 'Unknown']",levomisole,['Cocaine'],Not Surprised,Less,,Match,Behaviour Change,Harm Reduction,Cocaine,Other,none,none,levomisole
2217,yes,Female,['LSD'],Self,Offsite,[],,[],Not Surprised,TakeAsIntended,yes,Not Match,No Change,No Change,none,none,none,none,
2218,no,Male,['LSD'],Both,Offsite,[],,[],Not Surprised,TakeAsIntended,no,Not Match,No Change,No Change,none,none,none,none,
