,Unnamed: 0,UniqueKey,DateSurvey,UniqueCode,Consent,PreviousDC,PreviousShambhalaDC,Female,Male,1nbinary,Trans,Gender_Unk1wn,Belief_MDMA_a,Belief_MDA_a,Belief_Ketamine_a,Belief_Cocaine_a,Belief_Methamphetamine_a,Belief_LSD_a,Belief_Unk1wn_a,Belief_Other_a,Belief_MDMA_b,Belief_MDA_b,Belief_Ketamine_b,Belief_Cocaine_b,Belief_Methamphetamine_b,Belief_LSD_b,Belief_Unk1wn_b,Belief_Other_b,Belief_Other_detail_a,Belief_Other_detail_b,Belief_MDMA_c,Belief_MDA_c,Belief_Ketamine_c,Belief_Cocaine_c,Belief_Methamphetamine_c,Belief_LSD_c,Belief_Unk1wn_c,Belief_Other_c,Belief_Other_detail_c,Type_Powder_a,Type_Crystal_a,Type_Blotter_a,Type_PressTab_a,Type_Liquid_a,Type_Gummy_a,Type_Other_a,Type_Other_detail_a,Type_Colour_a,Type_Powder_b,Type_Crystal_b,Type_Blotter_b,Type_PressTab_b,Type_Liquid_b,Type_Gummy_b,Type_Other_b,Type_Other_detail_b,Type_Colour_b,Type_Powder_c,Type_Crystal_c,Type_Blotter_c,Type_PressTab_c,Type_Liquid_c,Type_Gummy_c,Type_Other_c,Type_Other_detail_c,Type_Colour_c,Testing_Self_Friend,Testing_Self,Testing_Friends,Testing_Friends_num,Testing_Clients,Testing_Other,Testing_Other_detail,Obtained_a,Obtained_b,Obtained_c,Erlich_result_a,Colorimetric_Comments,Ehrlich_result_b,Ehrlich_result_c,Benzos_results_a,Benzo_Comments,Benzos_result_b,Benzos_results_c,FTS_results_a,FTS_Comments,FTS_results_b,FTS_results_c,FTIR_completion,FTIR_initials,FTIR_machine_num,FTIR_result_a1,FTIR_result_a2,FTIR_result_a3,FTIR_result_a4,FTIR_result_b1,FTIR_result_b2,FTIR_result_b3,FTIR_result_b4,FTIR_result_c1,FTIR_result_c2,FTIR_result_c3,FTIR_result_c4,FTIR_result_a_7_detail,FTIR_result_b_7_detail,FTIR_result_c_7_detail,GCMS_completion,GCMS_initials,GCMS_machine_num,GCMS_result_a1,GCMS_result_a2,GCMS_result_a3,GCMS_result_a4,GCMS_result_a5,GCMS_result_a6,GCMS_result_a7_detail,GCMS_result_b1,GCMS_result_b2,GCMS_result_b3,GCMS_result_b4,GCMS_result_b5,GCMS_result_b6,GCMS_result_b7_detail,GCMS_result_c1,GCMS_result_c2,GCMS_result_c3,GCMS_result_c4,GCMS_result_c5,GCMS_result_c6,GCMS_result_c_7_detail,GCMS_peak_num,GCMS_resolved,FTIR_Comment,GCMS_Comment,Discarded,Initials,Final_comments,Surprised_a,Surprised_b,Surprised_c,Surprised_detail,Satisfaction,Improvement,Intention_1change_a,Intention_More_a,Intention_Less_a,Intention_Dispose_a,Intention_Friend_a,Intention_Change_a,Intention_Naloxone_a,Intention_Other_a,Intention_Other_detail_a,Intention_1change_b,Intention_More_b,Intention_Less_b,Intention_Dispose_b,Intention_Friend_b,Intention_Change_b,Intention_Other_b,Intention_Naloxone_b,Intention_Other_detail_b,Intention_1change_c,Intention_More_c,Intention_Less_c,Intention_Dispose_c,Intention_Friend_c,Intention_Change_c,Intention_Naloxone_c,Intention_Other_c,Intention_Other_detail_c,All_belief_a,No_of_belief_a,All_belief_b,All_belief_c,No_of_belief_b,No_of_belief_c,Identified_FTIR_A,Identified_FTIR_a1,Identified_FTIR_B,Identified_FTIR_b1,Identified_FTIR_C,Identified_FTIR_c1,FTIR_Drug_names_A,FTIR_Drug_names_A1,FTIR_Drug_names_B,FTIR_Drug_names_B1,FTIR_Drug_names_C,FTIR_Drug_names_C1,No_of_poly_FTIR_A,No_of_poly_FTIR_B,No_of_poly_FTIR_C,belief_a,belief_b,belief_c,matchornotA,matchornotA1,matchornotB,matchornotB1,matchornotC,matchornotC1
730,787,143,8/7/2019,4208,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,,0,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,,,0,1,1,1,1,1,1,,,1,0,1,1,1,1,1,,,0,0,2,1,1,1,,1,1,1,3,,3,3,3,,3,3,,hh,,,0,,,1,7,0,0,1,0,0,0,1,0,0,0,mannitol,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,kh,,1,1,1,,0,,0,1,1,1,0,1,1,1,,0,1,1,1,0,1,1,1,,0,1,1,1,0,1,1,1,,"0,1,1,1,1,1,1,1",1,"0,1,1,1,1,1,1,1","0,1,1,1,1,1,1,1",1,1,"1,7,0,0",1,"1,0,0,0",1,"1,0,0,0",1,"['MDMA', 'Unknown']",['MDMA'],['MDMA'],['MDMA'],['MDMA'],['MDMA'],2,1,1,['MDMA'],['MDMA'],['MDMA'],No match,Match,Match,Match,Match,Match
805,862,218,8/7/2019,4209,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2ct7,,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,0,1,,1,1,,0,,,3,,,,3,,,,1,,,,0,am,6,7,0,0,0,0,0,0,0,0,0,0,0,2ct7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,jz,,1,,,,0,,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"1,1,1,1,1,1,1,0",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"7,0,0,0",7,"0,0,0,0",0,"0,0,0,0",0,['Unknown'],['Unknown'],[],[],[],[],1,0,0,['Other'],[],[],No match,No match,Match,Match,Match,Match
797,854,210,8/7/2019,4210,0,1,,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,1,0,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,0,0,2,3,1,1,,0,,,0,,,,3,,,,3,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,jp,,1,,,,0,,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"1,1,1,1,1,0,1,1",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"0,0,0,0",0,"0,0,0,0",0,"0,0,0,0",0,[],[],[],[],[],[],0,0,0,['LSD'],[],[],No match,No match,Match,Match,Match,Match
701,758,114,8/7/2019,4211,0,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,0,0,2,,1,1,,0,,,,hh,,,,hh,,,1,,,,0,cs,1,4,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,cs,,0,,,,0,,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"1,1,1,1,1,1,1,1",0,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"4,0,0,0",4,"0,0,0,0",0,"0,0,0,0",0,['Cocaine'],['Cocaine'],[],[],[],[],1,0,0,[],[],[],No match,No match,Match,Match,Match,Match
847,904,260,8/7/2019,4212,0,1,,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,0,0,2,2,1,1,,1,,,3,,,,3,,,,1,,,,0,dg,3,3,8,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,ml,,0,,,,0,,0,1,1,1,0,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"1,1,0,1,1,1,1,1",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"3,8,0,0",3,"0,0,0,0",0,"0,0,0,0",0,"['Ketamine', 'Other']",['Ketamine'],[],[],[],[],2,0,0,['Ketamine'],[],[],No match,Match,Match,Match,Match,Match
826,883,239,8/7/2019,4213,0,1,,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,,,1,0,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,0,1,,1,1,,0,0,,3,,3,,3,,3,,1,,1,,0,ja,2,3,0,0,0,3,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,jsm,,1,1,,,0,,1,0,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"1,1,0,1,1,1,1,1",1,"1,1,0,1,1,1,1,1","1,1,1,1,1,1,1,1",1,0,"3,0,0,0",3,"3,0,0,0",3,"0,0,0,0",0,['Ketamine'],['Ketamine'],['Ketamine'],['Ketamine'],[],[],1,1,0,['Ketamine'],['Ketamine'],[],Match,Match,Match,Match,Match,Match
702,759,115,8/7/2019,4214,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,0,0,2,1,1,1,,0,,,,hh,,,,hh,,,1,,,,0,cs,1,3,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,cs,,1,,,,0,,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"1,1,0,1,1,1,1,1",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"3,0,0,0",3,"0,0,0,0",0,"0,0,0,0",0,['Ketamine'],['Ketamine'],[],[],[],[],1,0,0,['Ketamine'],[],[],Match,Match,Match,Match,Match,Match
753,810,166,8/7/2019,4215,0,1,,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,0,0,2,1,1,1,,1,,,3,,,,3,,,,1,,,,0,ja,2,7,0,0,0,0,0,0,0,0,0,0,0,ethylpentylone,,,0,mr,,8,,,,,,,,,,,,,,,,,,,,,3,1,,"mdma, speed, or ethylpentylone",1,jsm,,0,,,diffferent substance,,,1,1,1,1,1,1,1,0,return it,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,"0,1,1,1,1,1,1,1",1,"1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1",0,0,"7,0,0,0",7,"0,0,0,0",0,"0,0,0,0",0,['Unknown'],['Unknown'],[],[],[],[],1,0,0,['MDMA'],[],[],No match,No match,Match,Match,Match,Match
731,788,144,8/7/2019,4216,0,1,,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,,,1,1,1,0,1,1,1,1,,0,1,1,1,1,1,1,,,1,0,1,1,1,1,1,,,0,1,1,1,1,1,1,,,0,0,2,3,1,1,,1,1,,3,,3,3,3,,3,3,1,,1,1,0,km,4,3,0,0,0,1,0,0,0,4,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,ph,,1,0,1,expected more cuts,0,,0,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,,"1,1,0,1,1,1,1,1",1,"0,1,1,1,1,1,1,1","1,1,1,0,1,1,1,1",1,1,"3,0,0,0",3,"1,0,0,0",1,"4,0,0,0",4,['Ketamine'],['Ketamine'],['MDMA'],['MDMA'],['Cocaine'],['Cocaine'],1,1,1,['Ketamine'],['MDMA'],['Cocaine'],Match,Match,Match,Match,Match,Match
819,876,232,8/7/2019,4217,0,1,,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,1,0,1,1,1,1,1,1,,0,1,1,1,1,1,1,,,1,0,1,1,1,1,1,,,0,1,1,1,1,1,1,,,1,0,1,,1,1,,1,1,1,3,,3,3,3,,3,3,1,,1,1,0,dg,3,2,8,0,0,3,8,0,0,1,8,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,dg,,1,1,0,,0,,0,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,,"0,1,1,1,1,1,1,1",1,"1,1,0,1,1,1,1,1","1,0,1,1,1,1,1,1",1,1,"2,8,0,0",2,"3,8,0,0",3,"1,8,0,0",1,"['MDA', 'Other']",['MDA'],"['Ketamine', 'Other']",['Ketamine'],"['MDMA', 'Other']",['MDMA'],2,2,2,['MDMA'],['Ketamine'],['MDA'],No match,No match,No match,Match,No match,No match
